NEWS,CATEGORY,SEVERITY LEVEL
"The Internet has given us many glorious things: streaming movies, multiplayer games, real-time information and videos of cats playing the piano. It has also offered up some less edifying creations: web-borne viruses, cyber crime and Charles C Johnson.
His name came out of nowhere and now seems to be everywhere. When the consumer Internet first unfolded, there was much talk about millions of new voices blooming. Johnson is one of those flowers. His tactics may have as much in common with ultimate fighting as journalism, but that doesn’t mean he is not part of the conversation.
Johnson, a 26-year-old blogger based in California, has worked his way to the centre of the controversy over a Rolling Stone article about rape accusations made by a student at the University of Virginia. His instinct that the report was deeply flawed was correct, but he proceeded to threaten on Twitter to expose the student and then later named her. And he serially printed her photo while going after her in personal and public ways.
In the frenzy to discredit her, he published aFacebookphoto of someone he said was the same woman at a rally protesting an earlier rape. Oops. Different person. He did correct himself, but the damage, now to two different women, was done.
Before that, his targets were two reporters for The New York Times who, he said, revealed the address of the police officer in the Ferguson, Missouri, shooting. (They didn’t. They published the name of a street he once lived on, which had already been published in The Washington Post.) Before that, he attacked the victim of the shooting, Michael Brown.
Before that, he attacked Senator Cory Booker, saying the lawmaker did not live in Newark, New Jersey, when he was the city’s mayor; BuzzFeed wrote that Johnson not only was wrong, but had worked for a political action committee that opposed Booker.
He also wrote a series of Twitter messages that suggested PresidentBarack Obamawas gay. He offered money for photos of Senator Thad Cochran’s wife in her nursing home bed. Before that, well, it doesn’t really matter; you get the pattern.
He is not without some talent — he effectively ended the career of the rising foreign policy analyst Elizabeth O’Bagy after exposing her conflicts of interest and fudged academic credentials. In general, he has a knack for staking an outrageous, attacking position on a prominent news event, then pounding away until he is noticed. It is one way to go, one that says everything about the underreported news era we are living through.
In a phone call, he made it clear that he sees himself as part of the vanguard of Internet news, although he did add that some of what he is up to is a response to a lifetime of slights. “I’m basically one of those kids who was bullied all his life,” he said.
After watching him set off a series of small mushroom clouds, it struck me that he might be the ultimate expression of a certain kind of citizen journalism — one far more toxic than we’re accustomed to seeing.
He can now push the button on almost anything that has heat, a scent of scandal or the ability to activate his base of angry, conspiratorial readers, who believe the republic is being overwhelmed by criminals, feminists and the politicians who enable them. And then the rest of the journalistic establishment — including me — points a crooked finger at the naughty young man who is using his mouse to sow mayhem.
Although he was temporarily suspended from Twitter for publishing the personal information of others, he’s back on that site preaching to anyone who will listen. I’d ignore him if I thought he would go away, but I get the feeling he won’t.
In conversation, Johnson is prone to narcissism, not uncommon in media types, but he has his own special brand of it. He sees himself as a major character in a great unfolding epoch, dwelling on his school-age accomplishments, journalism awards, and vaguely suggesting that he has strong ties to many levels of law enforcement. Like what, I asked?
“Have you ever read the book or heard of the book Encyclopedia Brown?” he asked, referring to a series about a boy detective. “That’s the capacity in which I help them.”
My worry is that people who have made it this far in the column will click over to GotNews to see what all the fuss is about.
What they will find is a clear look into the molten core of certain mindset, a place where conspiracies are legion, victims are portrayed as perpetrators and so-called news is a fig leaf on a far darker art.
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Social Media Crimes,High
"In light of the ever widening scope of cyber crimes, a group of 45 policemen with the Mumbai Police Crime Branch is currently undergoing a comprehensive course on cyber crime investigation.
According to Crime Branch sources, the decision was taken after it was observed that while the Crime Branch gets diverse cases of cyber crime, the investigating officers need to be up-to-date with the latest cyber crime methods as well as techniques to investigate them.
Officials said it was recently noticed that cyber crimes had gone far beyond someone posting offensive or morphed content on social networking websites, and that investigation skills also need to be upgraded accordingly.
Hence, senior Crime Branch officers got in touch with the Asian School of Cyber Law inPune, which offers several comprehensive courses on cyber crime and investigation.
“After discussing our needs and factors like the time that our personnel have to spend on the field, ASCL came up with a customised course for us, which began around three weeks ago. It is basically a correspondence course, where most of the study material is sent online, with a classroom session in the Bandra Kurla Complex once a week. The course deals with cyber crimes, cyber law and cyber forensics,” said Additional Commissioner of Police (Crime) K M M Prasanna.
The batch of policemen undergoing the course includes Prasanna, two Deputy Commissioners of Police with the Crime Branch, the Assistant Commissioner of Police, Cyber Crime, and personnel from the Cyber Crime Investigation Cell, the Cyber Police Station in BKC and various other units of the Crime Branch.
Recalling one of the sessions, DCP (Detection) Dhananjay Kulkarni said, “One of the cyber crimes discussed at the last session was an amazingly simple method to acquire a target’s location. An email is sent out by a miscreant to the target, which claims that a girl wants to get in touch with him on a little known social networking portal, and the email has a link, purportedly for the portal. The moment the target clicks on the link, the geographical coordinates of the target are sent to the miscreant, while the target sees a web page that says that the page is unavailable or some such error.”
Joint Commissioner of Police (Crime) Sadanand Date added, “Based on the feedback after the course gets over, we might explore the possibility of making this a regular exercise.”
The Crime Branch is also considering sending a proposal to the government, and asking that at least five officers from every police station be made to undergo the course so that a major bulk of theMumbaiPolice strength is proficient in cyber crime investigation, said officials.
gautam.mengle@expressindia.com
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.", Emerging Threats,Medium
"Eight days after a massive cyber attack on Sony Pictures Entertainment, the Hollywood studio was still struggling to restore some systems on Tuesday evening as investigators combed for evidence to identify the culprit.
Some employees at theSonyCorp entertainment unit were given new computers to replace ones that had been attacked with the rare data-wiping virus, which had made their machines unable to operate, according to a person with knowledge of Sony’s operations.
In a memo to staff seen by Reuters, studio co-chiefs Michael Lynton and Amy Pascal acknowledged that “a large amount of confidential Sony Pictures Entertainment data has been stolen by the cyber attackers, including personnel information and business documents.”
They are “not yet sure of the full scope of information that the attackers have or might release,” according to the memo first reported by Variety, and encouraged employees to take advantage of identity protection services being offered.
Their concern underscores the severity of the breach, which experts say is the first major attack on a U.S. company to use a highly destructive class of malicious software that is designed to make computer networks unable to operate.
Government investigators led by the FBI are considering multiple suspects in the attack, including North Korea, according to a U.S. national security official with knowledge of the investigation.
The FBI said Tuesday that it is working with its counterparts in Sony’s home country of Japan in the investigation.
That comes after it warned U.S. businesses on Monday about hackers’ use of malicious software and suggested ways to defend themselves. The warning said some of the software used by the hackers had been compiled in Korean, but it did not discuss any possible connection to North Korea.
SONY’S TROUBLES
The hack, which was launched Nov. 24, only affected computers withMicrosoftCorp’s Windows software, so Sony employees usingAppleInc Macs, including many in the marketing department, had not been affected, according to the person familiar with Sony’s operations, who was not authorized to publicly discuss the attack.
Sony Pictures Entertainment shut down its internal computer network last week to prevent the data-wiping software from causing further damage, forcing employees to use paper and pen.
The studio has brought some systems back on line, focusing first on those from which the company generates revenues, including those involved with marketing and distributing its films and TV shows, according to the person.
The hack comes at a tough time for Sony, following soon after a denial-of-service attack on Sony’s PlayStation Network in August. Sony was also victim of a notorious 2011 breach that compromised data of tens of millions of PlayStation Network users.It also comes just as the company’s CEO Kazuo Hirai is trying to grow the entertainment business to help offset losses in its mobile division.
He has been under pressure to prove the segment’s growth potential after rejecting a proposal by U.S. hedge fund Third Point to spin it off last year.
FORENSIC INVESTIGATION
People claiming responsibility for this latest attack have posted high-quality digital copies of yet-to-be-released Sony films and what they claim are sensitive data about its operations and employees on Internet download sites, making them freely available to the public in a series of releases over the past five days.
Sony’s holiday musical “Annie”, which is due to be released Dec. 19 in the United States, was available for download on a popular piracy site on Tuesday evening.Daniel Clemens, chief executive of cyber security firm PacketNinjas, said he has reviewed the files released to date and believes they were stolen from Sony.He said he found business contracts as well as Social Security numbers, salary information and medical data about employees.
“This is a horrible compromise,” Clemens said.
The U.S. national security official, who asked to remain anonymous, told Reuters on Tuesday that the forensic investigation is in its early stages, and that no clear suspects have emerged.
The technology news site Re/code reported Nov. 28 that Sony was investigating whether hackers working on behalf of the North Korean government were responsible for the attack as retribution for the company’s backing of the film “The Interview.”
The comedy, which is due to be released in the United States and Canada on Dec. 25, is about a CIA plot to assassinate North Korean leader Kim Jong Un. Pyongyang denounced the film as “an act of war” in a letter to U.N. Secretary-General Ban Ki-moon in June.

Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Data Breach,High
"A jilted lover was arrested by the cyber crime cell of the Vadodara police Saturday for creating fake profile of a woman on a social networking site Facebook with the aim to malign her character by portraying her as a call girl.
The accused, Bhupendra Shah, a resident of Ghodasar inAhmedabad, allegedly usedFacebookas a means to take revenge on a divorced woman, who is a resident of Karelibaug in Vadodara, by creating three fake accounts and profiles and posting her photograph and mobile number on each of them. Police said Shah posted a message that suggested that the owner of the mobile number was a prostitute seeking clients through the social networking site.
“Shah created three accounts in the name of Poonam Shah, Nick Shah and Hasya Shah, and posted the mobile number of the victim on each of these accounts along with her photo and a message that suggested that she was seeking clients. Soon after, the victim started receiving calls form anonymous persons asking for her ‘rate’. Alerted, she asked from where they got her mobile number and learnt that her number was in circulation on social networking site,” said cyber crime cell PI VJ Rathod.
The victim lodged a police complaint and an investigation was launched. Soon, police sought details of the creator of the account from the Facebook and in a month and half, they learnt that the accused was behind creating the profile. Police booked him under various acts of the Information technology Act (2008) and Indian Penal Code for spreading obscene materials using computer device to malign the character of the victim.
Shah had got in touch with the victim nearly a year ago onYahooMessanger and both had exchanged numbers. The victim, divorcee, had refused to marry the accused and had married someone else. In order to take revenge for being jilted in love, he tried to malign her character using fake Facebook profile, police said.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
", Social Media Crimes,Medium
"A fraudulent on-line job racket offering nurses jobs in the UK has been busted by the cyber crime police in Bangalore with the arrest of five persons including two Nigerians. The accused had cheated a nurse to the tune of Rs 11 lakh by promising her a job at the Ealing Hospital in the United Kingdom.
The accused have been identified as Prince John Chikere (39) and Chinemeze Bede alias Joshua (26), both Nigerian nationals, along with Jennie Vungneiniang (30) wife of Prince John, her friend Lalthlanzo (31) and T Douthanlian Simte (21), all three with origins in North-East India.
Cyber crime police authorities attached to theKarnatakaCID police unit said in an official note that a nurse from KGF in Karnataka had filed a complaint with the Cyber Crime Police station on May 5 stating that she had responded to an email job offer for nurses at the Ealing Hospital in the UK and had paid Rs 11 lakh for the job as suggested by the fraudsters.
The nurse had responded to the email job offer at the Ealing hospital in UK by sending her CV and educational certificates. The accused subsequently got in touch with the victim on her telephone and asked her to remit money for anti-terrorism and drug trafficking safety certificates, WHO immunization insurance and skilled immigration permit certificates.
The victim remitted Rs 11,03,500 to different bank accounts as suggested provided by the accused before she realized she had been conned by a gang of fraudsters when she stopped getting responses from the accused.
Police said that main accused Prince John came to India 14 years ago and settled inBangalore. Another accused Bede came to India and never returned despite the expiry of his visa. Bede who had settled in Bangalore was running the online cheating operation with the help of his associates, police said.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

",Job Fraud,High
"Union Home Minister Rajnath Singh has raised concerns over delay in utilisation of Nirbhaya fund, aimed at providing speedy assistance to women in distress, and said stakeholders will be consulted for its speedy execution. Singh, while reviewing the Centre-State division of the MHA Tuesday, also suggested that state police forces should involve a professional body to help them develop capacity to fight cyber crime.
TheManmohan Singh-led UPA government had on February 4 this year approved Nirbhaya (named in a memory of the girl, who was gang raped in a moving bus here on December 16, 2012) project.
Under the project, a distress or emergency alarms generated by woman by pressing a button through her mobile phones or devices would land at Police Control Room (PCR) which would immediately arrange to dispatch emergency PCR van to assist the individual.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Women/Child-related Crimes,Medium
"52 per cent of the children surveyed in India said they were victims of cyber-crime (Source: Reuters)
With easy access to Internet and smart gadgets, a growing number of children in the country today are falling prey to cyber-bullying, security software firm Symantec said on Sunday.
However, more disturbing is the fact that a majority of the parents don’t feel their child is being bullied online.
According to a report by Norton (a Symantec brand), 52 per cent of the children surveyed in India said they were victims of cyber-crime and/or had online negative situation and about 18 per cent said they had been bullied online.
However, 84 per cent of the parents surveyed in India said they did not feel that their child was being bullied online, The Norton Report: Family Edition said.
Cyber-bullying refers to people using electronic communication like emailing, social networking and texting to harm others.
Interestingly, 34 per cent of children surveyed in India admitted to creating negative online experience for others.
Negative online experience refers to experience someone posting private/intimate content without permission, being approached online in an unwanted sexual way, online stalking or harassment, receiving SMS text messages from unknown people asking to click on an embedded link or receiving adult content.
“Going online is a daily affair for many of us, not just adults but children too as they tackle schoolwork and indulge in playtime on the Internet. With social media and the online world continuing to infiltrate our lives and that of children, cyber-bullying remains a very real online danger due to the damaging effect on people’s mental health,” Ritesh Chopra, Country Manager (India) for Norton by Symantec told.
Also, with more and more people using their mobile devices, there is more direct impact.
“Unlike offline forms of communication, these chats and messages are being digitally stored and can be forwarded to someone other than the original recipient, edited to distort the communication, and be published to different places,” he said.
Once the communication is “out there,” the person has lost control of it, Chopra added.
About 54 per cent of the girls surveyed said they were victims of cyber-crime or a negative online situation.
Also, 58 per cent girls said they were bullied online during school year compared to 28 per cent boys who said they were bullied in school year.
The study, commissioned annually by Symantec, surveyed 13,022 adults (aged 18 to 64) from 24 countries in 2014.This includes Australia, Brazil, Canada, China, India, Italy,Japan, the UAE, the UK and the US.
📣 For more lifestyle news,click here to join our WhatsApp Channeland also follow us onInstagram
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Cyberbullying,High
"Months after whistleblower Edward Snowden disclosed that snooping by United States intelligence agencies involved internet networks in India, the government has acknowledged that only metadata or the “origin-route-destination” of emails were tracked and not their “actual content”.
In a report “Cyber Crime, Cyber Security and Right to Privacy”, tabled in Parliament in the last session by the Standing Committee on Information Technology, the Secretary of the Department of Electronics and Information Technology (DEITY) said that the government has been “assured that whatever data has been gathered by them for surveillance relates only to the metadata”. “It has been reiterated and stated at the highest level of the US President that only the metadata has been accessed, which is, the origin of the message and the receiving point, the destination and the route through which it has gone, but not the actual content itself,” the Secretary told the committee.
He said “this has been reiterated by them, but we expressed that any incursion into the content will not be tolerated and is not tolerable from Indian stand and point of view” and “that has been mentioned very clearly and firmly by our Government”. The committee, while taking note of DEITY’s stand that “incursion into the content of the country’s data will not be tolerated”, said that the “department should have exercised enough caution so that such a situation was not allowed to occur at the first instance”.Asking the department to be “extremely vigilant and cautious” in terms of safety and policy with different countries so as to avoid “such leakage and interception of sensitive data in the name of surveillance”, the panel has called for “remedial measures” and “a policy which should be implemented stringently so as to obviate recurrence of such instances”.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
", Emerging Threats, Medium
"With high demand for IT jobs in the city and the Middle East, Hyderabad has become the hub for job frauds and online employment scams. While well-educated scamsters are duping unemployed graduates of lakhs of rupees by promising jobs in top IT companies, con men in the old city are taking Muslims youths for a ride by assuring them jobs in the Middle East. From just one case of defrauding job-seekers in 2012, the number of job scams rose to 21 in 2013. This year, seven cases have been registered already.
On January 15, Central Crime Station officers arrested the CEO of a job consultancy in Ameerpet. The accused, V Chandrasekhar, collected close to Rs 30 lakh from 19 persons promising them jobs in Bahrain. He convinced them to pay “consultation and processing fee” after arranging fake telephonic interviews with his friend living in London. “They are all innocent youths desperate to get a job. Once they paid the money, Chandrasekhar started avoiding them and stopped answering their calls,’’ inspector P Raju said. Of the 19 victims, 10 are Muslim youths from poor families who apparently borrowed money or mortgaged family jewellery.
Cyber Crime and CCS officials say tfraudsters are not only using employment websites but are also openly posting job offers on websites likeOLXandQuikr, besides shopping websites. Also under police scanner are severalHyderabad-based websites offering fake degree and employment experience certificates. According to the Hyderabad Police, cyber crimes showed an almost 350% increase from 47 cases in 2012, to 162 cases in 2013.
Recently, police arrested a man who was offering jobs in the Hyderabad office of a top IT multi-national company. He posted the offer on a classifieds website. Posing as an HR executive ofIBM, he duped a woman of Rs 80,000 by creating a fake email ID that led the victim to believe the appointment letter was sent by the company. Based on a complaint, the Cyberabad Police arrested P Rajendran, who was in the process of duping other people at that time. Officials say that almost all major IT companies in Hyderabad find their names being used by con men, the latest beingDell, Genpact and Infosys.
“Supporting these fraudsters are several ancillary agencies which provide them with fake visas, forged letterheads of various companies, fake certificates and even fake air-tickets,’’ said a CCS official. Last month, the Commissioner’s Task Force raided a visa consultancy in Secunderabad and arrested its owner, G Krishna, who was preparing fake F1 visas.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

",Job Fraud,High
"Seven month long country-wide chase by the Mumbai Police last year ended with the arrest of 13 people, including the alleged masterminds of the illegal transfer of Rs 2.4 crore from the Yes Bank account of the RP Geonka Group of firms in May.
While the plotters of the cyber fraud have been identified as Nigerian nationals, a church priest fromTamil Naduis also a key figure in the conspiracy, the police have said. The police are convinced that the crime has its origins in one of thousands of spam e-mails sent daily by the Nigerian accused. Police officers who supervised the investigation believe that one such Trojan-bearing e-mail was opened by an employee of the RPG group, allowing the accused to access the firm’s bank account details.
In a series of 14 transfers in three hours on May 11, Rs 2.4. crore was illegally siphoned off and deposited in 12 bank accounts in 10 cities. The receivers were instructed only to withdraw the money credited to their accounts and allowed to retain a percentage, the police said.
After thea transactions came to light, RPG Group instructed Yes Bank to stop them. Yes Bank, in turn, informed other banks to freeze the accounts of the receivers. It ensured that part of the amount could not be withdrawn.
Once Yes Bank officials handed over details of the account-holders, the Worli police had the seemingly straight-forward task of going to their homes and recovering the cash.  “Almost all of the addresses turned out to be false. When we went to the addresses, the account-holders were not home,” said Inspector Jeevan Kharat of the Worli police station. Kharat headed a special squad formed by the then Central Region Additional Commissioner of Police, Pravin Salunke.
The police did succeed in nabbingHyderabad-based businessmen Venkata Reddy (26) and Pawan Waghmare (44) in Coimbatore in June. The men, who operate a small firm selling agricultural implements, planned to use Rs. 3 lakh they had been paid, to expand their business interests.
Another police team, meanwhile, traced the Internet Protocol (IP) address of the computer used to commit the offence. It led them to a small apartment in Saket in south Delhi, where Nigerian nationals Alumona Chukwudi (38) and Ogwu Ransom (37) were holed up. A laptop and an MTS internet dongle were seized from their possession.
With Chukwudi and Ransom at the top of the chain, the police found a network of middlemen spread across the country, engaged in coaxing gullible bank customers into lending their accounts for receiving money. The police identified and arrested one among them – Solomon Prabhakar Duraiswami, a native of Thiruvallur district in Tamil Nadu. The police said 37-year-old Duraiswami is responsible for acquiring bank accounts in Coimbatore, Kanchipuram and Thiruvallur for the accused.
“These middlemen never gave out their full names or phone numbers. They would usually pose as poor people without bank accounts and tell their targets that they needed to receive money either from family living in another state or from a trust. In return, they would promise their targets a small percentage of the sum,” said Vinayak Deshmukh, Deputy commissioner of Police, Zone 3.
Investigations into the acquisition of the internet dongle led to further arrests and unearthed another part of the conspiracy.The police tracked down an MTS Gallery in Saket, where two employees, Raju Kirodiwal (30) and Rahul Mishra (26), surreptitiously acquired internet connections using details of new customers. “Both men had asked two new customers to submit copies of their driver’s license and address proof. They used one copy of each document and acquired dongles, which were then passed on to an MTS agent named Sudhir Sudhan,” said Kharat.
Sudhan, 35, supplied several such dongles to  cell phone stalls in Saket. “We arrested two men, Manish Arora (37) and Amjad Khan (42) for selling the dongles used in the offence, to the main accused. The accused disposed off the dongles after committing the crime,” said Kharat.
srinath.rao@expressindia.com
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

",Financial Fraud,High
"The state government on Monday ordered a probe into active use of Facebook accounts and cyber life of members of a supari gang who have been in judicial custody for last 17 months on charges of murdering a CPI (M) rebel leader. The seven-member gang was among the CPI (M) leaders who have been facing trial in the murder of Marxist rebel T P Chandrasekharan in May last year.
The alleged accused in the murder case are now lodged in Kozhikode district jail. Two months back,a kingpin of the gold smuggling gang from Dubai,named Fayas,had visited the accused in jail in the attire of an Arab national. The state intelligence had earlier reported about the alleged accused using phones at the jail.
The gang was found frequently updating their photos about life in jail and liking the CPI (M) events,including last weeks party plenum. They had posted photos in flamboyant styles. One of the accused Annan Sijith had posted a comment 15 hours back,saying dont play with the CPI (M). (It may be recalled that aBJPworker was murdered in Kannur on Sunday). The pictures also showed the gang members using costly smart phones in jail.
The security lapses at the jail and the freedom enjoyed by the pro-CPI (M) gang have evoked widespread protest from Congress leaders. Congress MP from Kannur K Sudhakaran said the incident exposed the failure of the Home Department. Sudhakaran has been running a battle with his party colleague and home minister Thiruvanchoor Radhakrishnan over the governments police policy. Radhakrishnan should answer for this blatant violation of prison rules. It is shocking that the CPI (M) goons have such a freedom to violet prisons rules when Congress is in power, said Sudhakaran.
Home Minister Radhakrishnan said he would visit the jail on Tuesday. A high-level committee,comprising the Prisons DGP,the DGP (law and order) and the Home Secretary would probe into the issue.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Kolkata rape-murder case: Why it’s not enough to hold protestsSubscriber Only
Why PM Modi’s I-Day speech this year was uninspiringSubscriber Only
Protests, suspensions to Chomsky: Decline of South Asian UniversitySubscriber Only
UPSC Key | Mpox outbreak, Global Development Compact, Lateral entrySubscriber Only
Why Bangladesh’s Mujib-focused history came under attackSubscriber Only
IMD rain forecasts for Mumbai wrong by 42% in July.Subscriber Only
China & supply of electronic components for ‘made in India’Subscriber Only
After Hasina, the road ahead for BangladeshSubscriber Only
All that freedom has given usSubscriber Only
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Social Media Crimes,Medium
"Nerul police Friday detained a 29-year-old man for allegedly defaming  NCP president Sharad Pawar on a social networking website.
Police said Pravin Pisal runs a matrimony website. He was picked up for questioning from his Nerul residence.
The complainant,a local NCP worker,told police that last month,Pisal had allegedly posted a picture of Sharad Pawar with defamatory content. The post was shared by several people. Police said the picture was allegedly morphed and modified,showing him being attacked with sharp weapons and knives.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Social Media Crimes,Medium
